rank,name,Spouse (or domestic partner) - Spouse,Breakup - Participant,Dated - Participant,Canoodled - Participant,score,profession,age
,,,,Seann William Scott,,,,
838,Ron Livingston,Rosemarie DeWitt,,,,2.81,"Actor, Producer",45
,,Ron Livingston,,,,,,
838,Debra Winger,Arliss Howard,Bob Kerrey,Timothy Hutton,,2.81,Actress,57
,,Debra Winger,Debra Winger,Debra Winger,,,,
,,Timothy Hutton,Al Pacino,Nick Nolte,,,,
,,Debra Winger,Debra Winger,Debra Winger,,,,
,,,Timothy Hutton,Bob Kerrey,,,,
,,,Debra Winger,Debra Winger,,,,
,,,Nick Nolte,Arliss Howard,,,,
,,,Debra Winger,Debra Winger,,,,
,,,,Al Pacino,,,,
,,,,Debra Winger,,,,
,,,,Debra Winger,,,,
,,,,Richard Lewis,,,,
,,,,Nick Nolte,,,,
,,,,Debra Winger,,,,
,,,,Al Pacino,,,,
,,,,Debra Winger,,,,
,,,,Debra Winger,,,,
,,,,Bob Kerrey,,,,
,,,,Debra Winger,,,,
,,,,Andrew J. Rubin,,,,
842,Asia Argento,Michele Civetta,,Asia Argento,,2.8,Actress,36
,,Asia Argento,,Abel Ferrara,,,,
,,,,Asia Argento,,,,
,,,,Michael Pitt,,,,
,,,,Vincent Gallo,,,,
,,,,Asia Argento,,,,
,,,,Asia Argento,,,,
,,,,Michele Civetta,,,,
,,,,Abel Ferrara,,,,
,,,,Asia Argento,,,,
,,,,Asia Argento,,,,
,,,,Sergio Rubini,,,,
,,,,Asia Argento,,,,
,,,,Jonathan Rhys Meyers,,,,
842,Illeana Douglas,Jonathan Axelrod,,,,2.8,"Actress, Director, Producer, Singer (Cameo), Writer",47
,,Illeana Douglas,,,,,,
842,Jane Krakowski,Robert Godley,,,,2.8,"Actress, Singer (Cameo)",43
,,Jane Krakowski,,,,,,
842,Mary McCormack,Michael Morris,,,,2.8,Actress,43
,,Mary McCormack,,,,,,
,,Mary McCormack,,,,,,
,,Michael Morris,,,,,,
846,Vincent Phillip D'Onofrio,Carin van der Donk,,,,2.79,"Actor, Director, Producer",53
,,Vincent Phillip D'Onofrio,,,,,,
,,Greta Scacchi,,,,,,
,,Vincent Phillip D'Onofrio,,,,,,
846,Brendan Gleeson,Mary Gleeson,,,,2.79,"Actor, Singer (Cameo)",57
,,Brendan Gleeson,,,,,,
846,Eddie Griffin,Carla Griffin,,,,2.79,"Actor, Director, Producer, Singer (Cameo), Writer",44
,,Eddie Griffin,,,,,,
,,Nia Rivers,,,,,,
,,Eddie Griffin,,,,,,
,,Rochelle Griffin,,,,,,
,,Eddie Griffin,,,,,,
846,Olivia Thirlby,,,,,2.79,Actress,26
846,Kenan Thompson,,,,,2.79,Actor,34
851,Carla Gugino,Sebastian Gutierrez,,,,2.78,"Actor, Producer",40
,,Carla Gugino,,,,,,
851,Catherine McCormack,,,,,2.78,"Actress, Singer (Cameo)",40
851,Robert Patrick,Barbara Patrick,,,,2.78,"Actor, Producer",53
,,Robert Patrick,,,,,,
851,Steven Strait,Steven Strait,,,,2.78,"Actor, Musician",26
,,Lynn Collins,,,,,,
855,Rachel Blanchard,,,,,2.77,Actress,36
855,Marc Blucas,Ryan Haddon,,,,2.77,Actor,40
,,Marc Blucas,,,,,,
855,Mark Harmon,Pam Dawber,,Heather Locklear,,2.77,"Actor, Director, Producer",60
,,Mark Harmon,,Mark Harmon,,,,
855,Sean Hayes,,,,,2.77,"Actor, Producer, Singer (Cameo), Writer",42
855,Kristen Johnston,,,Ryan Reynolds,,2.77,Actress,44
,,,,Kristen Johnston,,,,
855,Donal Logue,,,Donal Logue,,2.77,Actor,46
,,,,Sofía Vergara,,,,
855,Kristen Stewart,,,Michael Angarano,Robert Pattinson,2.77,Actress,22
,,,,Kristen Stewart,Kristen Stewart,,,
,,,,,Kristen Stewart,,,
862,Eric Bogosian,Jo Anne Bonney,,,,2.76,"Actor, Writer",59
,,Eric Bogosian,,,,,,
862,Griffin Dunne,Carey Lowell,,,,2.76,"Actor, Director, Producer, Writer",57
,,Griffin Dunne,,,,,,
,,Anna Bingemann,,,,,,
,,Griffin Dunne,,,,,,
862,Mike Epps,Michelle McCain,,,,2.76,"Actor, Comedian, Producer, Singer (Cameo), Writer",41
,,Mike Epps,,,,,,
862,Irène Jacob,Brooke McCarter,,,,2.76,Actress,46
,,Irène Jacob,,,,,,
862,Christopher Plummer,Christopher Plummer,,,,2.76,"Actor, Producer, Singer (Cameo)",82
,,Tammy Grimes,,,,,,
,,Christopher Plummer,,,,,,
,,Elaine Taylor,,,,,,
,,Christopher Plummer,,,,,,
,,Patricia Lewis,,,,,,
867,Leslie Bibb,Rob Born,,,,2.75,"Actress, Model, Producer",37
,,Leslie Bibb,,,,,,
867,Pete Postlethwaite,Jacqueline Morrish,,,,2.75,Actor,66
,,Pete Postlethwaite,,,,,,
869,Emily Deschanel,David Hornsby,,,,2.74,"Actress, Producer, Singer (Cameo)",35
,,Emily Deschanel,,,,,,
870,David Paymer,Liz Georges,,,,2.73,"Actor, Director",57
,,David Paymer,,,,,,
870,Teri Polo,Anthony Moore,,,,2.73,Actress,43
,,Teri Polo,,,,,,
,,Jamie Wollam,,,,,,
,,Teri Polo,,,,,,
870,David Suchet,David Suchet,,,,2.73,"Actor, Producer",66
,,Sheila Ferris,,,,,,
873,David Carradine,Marina Anderson,,,,2.72,"Actor, Composer, Director, Producer, Singer (Cameo), Writer",75
,,David Carradine,,,,,,
,,Linda Anne Gilbert,,,,,,
,,David Carradine,,,,,,
,,Annie Bierman,,,,,,
,,David Carradine,,,,,,
,,Gail Jensen,,,,,,
,,David Carradine,,,,,,
,,Donna Lee Becht,,,,,,
,,David Carradine,,,,,,
,,Barbara Hershey,,,,,,
,,David Carradine,,,,,,
873,Martin Freeman,Martin Freeman,,Martin Freeman,,2.72,Actor,40
,,Amanda Abbington,,Martin Freeman,,,,
,,,,Zooey Deschanel,,,,
,,,,Martin Freeman,,,,
,,,,Amanda Abbington,,,,
873,Crispin Glover,,,Courtney Peldon,,2.72,"Actor, Director, Producer, Singer (Cameo), Writer",48
,,,,Crispin Glover,,,,
,,,,Fairuza Balk,,,,
,,,,Crispin Glover,,,,
873,Dolph Lundgren,Anette Qviberg,,Dolph Lundgren,,2.72,"Actor, Director, Producer, Writer",54
,,Dolph Lundgren,,Janice Dickinson,,,,
873,Kelly Macdonald,Kelly Macdonald,,,,2.72,Actress,36
,,Dougie Payne,,,,,,
873,Gabriel Mann,,,,,2.72,"Actor, Singer (Cameo)",40
873,Sophie Okonedo,,,,,2.72,Actress,43
873,Imelda Staunton,Jim Carter,,,,2.72,Actress,56
,,Imelda Staunton,,,,,,
873,Mary Steenburgen,Malcolm McDowell,,,,2.72,Actress,59
,,Mary Steenburgen,,,,,,
,,Ted Danson,,,,,,
,,Mary Steenburgen,,,,,,
882,Craig Bierko,,,Craig Bierko,,2.71,"Actor, Stage Performer (Musical)",47
,,,,Charlize Theron,,,,
,,,,Jennifer Love Hewitt,,,,
,,,,Craig Bierko,,,,
,,,,Charlize Theron,,,,
,,,,Craig Bierko,,,,
882,January Jones,,,Ashton Kutcher,,2.71,Actress,34
,,,,January Jones,,,,
,,,,Jim Carrey,,,,
,,,,January Jones,,,,
,,,,Ashton Kutcher,,,,
,,,,January Jones,,,,
,,,,Josh Groban,,,,
,,,,January Jones,,,,
882,Jenny McCarthy,Jenny McCarthy,,Jenny McCarthy,Jenny McCarthy,2.71,"Actress, Producer, Writer",39
,,John Mallory Asher,,Jim Carrey,Jenna Jameson,,,
,,,,Jim Carrey,,,,
,,,,Jenny McCarthy,,,,
885,Dan Fogler,Jodie Capes Fogler,,,,2.7,"Actor, Singer (Cameo)",35
,,Dan Fogler,,,,,,
885,Charlotte Gainsbourg,Yvan Attal,,,,2.7,"Actress, Singer (Cameo)",41
,,Charlotte Gainsbourg,,,,,,
885,Scott Glenn,Carol Schwartz,,,,2.7,Actor,71
,,Scott Glenn,,,,,,
885,David Alan Grier,Maritza Rivera,,,,2.7,"Actor, Producer, Singer (Cameo), Writer",57
,,David Alan Grier,,,,,,
,,Christine Y. Kim,,,,,,
,,David Alan Grier,,,,,,
885,Karl Urban,Natalie Wihongi,,,,2.7,Actor,40
,,Karl Urban,,,,,,
890,Scott Caan,,,Scott Caan,,2.69,"Actor, Director, Producer, Writer",35
,,,,Kimberly Stewart,,,,
,,,,Jessica Alba,,,,
,,,,Scott Caan,,,,
890,Haylie Duff,Nick Zano,,Haylie Duff,,2.69,"Actress, Producer, Singer (Cameo)",27
,,Haylie Duff,,AJ Discala,,,,
,,,,Haylie Duff,,,,
,,,,AJ Discala,,,,
,,,,Haylie Duff,,,,
,,,,Erik von Detten,,,,
,,,,Haylie Duff,,,,
,,,,Brody Jenner,,,,
,,,,Haylie Duff,,,,
,,,,Nick Zano,,,,
,,,,Charlie McDowell,,,,
,,,,Haylie Duff,,,,
890,David Koechner,Leigh Koechner,,,,2.69,"Actor, Producer, Singer (Cameo), Writer",49
,,David Koechner,,,,,,
890,Edward James Olmos,Lorraine Bracco,,,,2.69,"Actor, Composer, Director, Producer",65
,,Edward James Olmos,,,,,,
,,Edward James Olmos,,,,,,
,,Kaija Keel,,,,,,
,,Lymari Nadal,,,,,,
,,Edward James Olmos,,,,,,
890,Josh Peck,,,,,2.69,"Actor, Director, Producer",25
895,Kat Dennings,,,,,2.68,"Actress, Singer (Cameo)",26
896,Jace Alexander,Maddie Corman,,,,2.67,"Actor, Director, Producer, Writer",52
,,Jace Alexander,,,,,,
896,William Baldwin,Chynna Phillips,,William Baldwin,,2.67,Actor,49
,,William Baldwin,,Jennifer Grey,,,,
896,Keisha Castle-Hughes,,,,,2.67,Actress,22
896,Sean Faris,,,,,2.67,"Actor, Producer",30
896,Alison Lohman,Alison Lohman,,,,2.67,Actress,32
,,Mark Neveldine,,,,,,
896,Lou Taylor Pucci,,,,,2.67,Actor,26
896,Greta Scacchi,Greta Scacchi,,,,2.67,Actress,52
,,Vincent Phillip D'Onofrio,,,,,,
,,Carlo Mantegazza,,,,,,
,,Greta Scacchi,,,,,,
896,Tom Skerritt,Julie Tokashiki,,,,2.67,Actor,78
,,Tom Skerritt,,,,,,
,,Charlotte Shanks,,,,,,
,,Tom Skerritt,,,,,,
,,Sue Oran,,,,,,
,,Tom Skerritt,,,,,,
896,Donnie Wahlberg,Kimberly Fey,,,,2.67,Actor,42
,,Donnie Wahlberg,,,,,,
905,Jennifer Beals,Alexandre Rockwell,,,,2.66,Actress,48
,,Jennifer Beals,,,,,,
,,Ken Dixon,,,,,,
,,Jennifer Beals,,,,,,
905,Joan Chen,Peter Hui,,,,2.66,"Actress, Director, Producer, Writer",51
,,Joan Chen,,,,,,
,,Jim Lau,,,,,,
,,Joan Chen,,,,,,
905,Rob Corddry,Sandra Corddry,,,,2.66,"Actor, Writer",41
,,Rob Corddry,,,,,,
905,Angus Macfadyen,Angus Macfadyen,,Catherine Zeta-Jones,,2.66,"Actor, Singer (Cameo)",48
,,,,Angus Macfadyen,,,,
905,Amy Sedaris,,,,,2.66,"Actress, Comedian, Writer",51
905,Tom Welling,Jamie White,,,,2.66,Actor,35
,,Tom Welling,,,,,,
911,Melissa Leo,,,,,2.65,Actress,51
911,Rosie Perez,Seth Zvi Rosenfeld,,,,2.65,"Actress, Director, Producer, Singer (Cameo)",47
,,Rosie Perez,,,,,,
911,DMX,,,,,2.65,"Actor, Composer, Producer, Rapper, Singer (Cameo)",41
911,Robin Tunney,Bob Gosse,,,,2.65,Actress,40
,,Robin Tunney,,,,,,
,,Andrew Dominik,,,,,,
,,Robin Tunney,,,,,,
911,Rita Wilson,Rita Wilson,,Rita Wilson,,2.65,Actress,55
,,Tom Hanks,,Tom Hanks,,,,
916,Keith Carradine,Hayley DuMond,,,Keith Carradine,2.64,"Actor, Composer, Producer, Singer, Stage Performer (Musical)",62
,,Keith Carradine,,,Madonna,,,
,,Sandra Will Carradine,,,,,,
,,Keith Carradine,,,,,,
,,Keith Carradine,,,,,,
,,Shelley Plimpton,,,,,,
916,"Clifton Collins, Jr.",,,,,2.64,"Actor, Producer",42
916,Blythe Danner,Bruce Paltrow,,,,2.64,Actress,69
,,Blythe Danner,,,,,,
916,Olympia Dukakis,Louis Zorich,,,,2.64,"Actress, Producer",81
,,Olympia Dukakis,,,,,,
916,Robert Hoffman,,,,,2.64,"Actor, Dancer",31
916,Eve,,,,,2.64,"Actress, Musician, Producer, Rapper, Singer",33
916,Henry Winkler,Stacey Weitzman,,,,2.64,Actor,66
,,Henry Winkler,,,,,,
923,Justin Bartha,Ashley Olsen,,Justin Bartha,Ashley Olsen,2.63,"Actor, Director, Producer, Writer",34
,,Justin Bartha,,Ashley Olsen,Justin Bartha,,,
923,Faye Dunaway,Faye Dunaway,,Warren Beatty,,2.63,"Actress, Director, Producer, Writer",71
,,Peter Wolf,,Faye Dunaway,,,,
,,Terry O'Neill,,,,,,
,,Faye Dunaway,,,,,,
,,Faye Dunaway,,,,,,
,,Marcello Mastroianni,,,,,,
923,Piper Perabo,,,Piper Perabo,,2.63,Actress,35
,,,,Sam Rockwell,,,,
,,,,Matthew Perry,,,,
,,,,Piper Perabo,,,,
926,Jacqueline Bisset,,,,,2.62,"Actress, Producer",67
926,Rachael Leigh Cook,Daniel Gillies,,Rachael Leigh Cook,,2.62,"Actress, Producer",32
,,Rachael Leigh Cook,,Seth Binzer,,,,
,,,,Rachael Leigh Cook,,,,
,,,,"Antonio Sabàto, Jr.",,,,
,,,,Rachael Leigh Cook,,,,
,,,,Shane West,,,,
,,,,Rachael Leigh Cook,,,,
,,,,Jacob Young,,,,
,,,,Rachael Leigh Cook,,,,
,,,,Christopher Masterson,,,,
,,,,Rachael Leigh Cook,,,,
,,,,Ben Foster,,,,
,,,,Rachael Leigh Cook,,,,
,,,,Colin Hanks,,,,
,,,,Rachael Leigh Cook,,,,
,,,,Ryan Reynolds,,,,
,,,,Rachael Leigh Cook,,,,
,,,,Shawn Hatosy,,,,
,,,,Rachael Leigh Cook,,,,
,,,,Vincent Kartheiser,,,,
926,Nathan Fillion,,,,,2.62,"Actor, Singer (Cameo), Writer",41
926,Vincent Gallo,,,Vincent Gallo,Vincent Gallo,2.62,"Actor, Director",51
,,,,Asia Argento,Paris Hilton,,,
,,,,Vincent Gallo,,,,
,,,,Paris Hilton,,,,
,,,,Vincent Gallo,,,,
,,,,Bethany Ritz,,,,
,,,,Vincent Gallo,,,,
,,,,Chloë Sevigny,,,,
,,,,Heather Christie,,,,
,,,,Vincent Gallo,,,,
926,Mary Stuart Masterson,George Carl Francisco,,,,2.62,"Actress, Director, Producer, Writer",46
,,Mary Stuart Masterson,,,,,,
,,Jeremy Davidson,,,,,,
,,Mary Stuart Masterson,,,,,,
,,Damon Santostefano,,,,,,
,,Mary Stuart Masterson,,,,,,
926,Jennifer Westfeldt,Jennifer Westfeldt,,Jennifer Westfeldt,,2.62,Actress,42
,,Jon Hamm,,Jon Hamm,,,,
926,Ed Westwick,,,Jessica Szhor,Drew Barrymore,2.62,Actor,25
,,,,Ed Westwick,Ed Westwick,,,
,,,,Leighton Meester,,,,
,,,,Ed Westwick,,,,
933,Harry Shearer,Judith Owen,,,,2.61,"Actor, Composer, Director, Producer, Singer (Cameo), Writer",68
,,Harry Shearer,,,,,,
,,Penny Nichols,,,,,,
,,Harry Shearer,,,,,,
934,Jesse Bradford,,,,,2.6,"Actor, Producer",33
934,Jennifer Tilly,Jennifer Tilly,,Lou Diamond Phillips,Dennis Kucinich,2.6,Actress,53
,,Sam Simon,,Jennifer Tilly,Jennifer Tilly,,,
,,Phil Laak,,Jennifer Tilly,Jennifer Tilly,,,
,,Jennifer Tilly,,Phil Laak,Gina Gershon,,,
,,,,Sam Simon,,,,
,,,,Jennifer Tilly,,,,
936,Jordana Brewster,Jordana Brewster,Jordana Brewster,Jordana Brewster,,2.59,Actress,32
,,Andrew Form,Derek Jeter,Derek Jeter,,,,
,,,,Jordana Brewster,,,,
,,,,Mark Wahlberg,,,,
,,,,Derek Jeter,,,,
,,,,Jordana Brewster,,,,
,,,,Josh Hartnett,,,,
,,,,Jordana Brewster,,,,
936,Claire Forlani,Dougray Scott,,Claire Forlani,,2.59,"Actress, Producer",40
,,Claire Forlani,,Ben Stiller,,,,
,,,,Ben Stiller,,,,
,,,,Claire Forlani,,,,
,,,,John Cusack,,,,
,,,,Claire Forlani,,,,
,,,,Benicio del Toro,,,,
,,,,Claire Forlani,,,,
,,,,Claire Forlani,,,,
,,,,Jeremy London,,,,
,,,,Keanu Reeves,,,,
,,,,Claire Forlani,,,,
,,,,Brad Pitt,,,,
,,,,Claire Forlani,,,,
936,Marg Helgenberger,Marg Helgenberger,,,,2.59,Actress,53
,,Alan Rosenberg,,,,,,
936,Jeffrey Tambor,Kasia Ostlun,,,,2.59,Actor,68
,,Jeffrey Tambor,,,,,,
,,Kathryn Mitchell,,,,,,
,,Jeffrey Tambor,,,,,,
940,Sandrine Bonnaire,Sandrine Bonnaire,,William Hurt,,2.58,"Actress, Director, Writer",45
,,Guillaume Laurant,,Sandrine Bonnaire,,,,
,,William Hurt,,,,,,
,,Sandrine Bonnaire,,,,,,
941,Drake Bell,,,,,2.57,"Actor, Composer, Director, Musician, Producer",26
941,Patrick Fugit,,,,,2.57,Actor,29
941,Alyson Hannigan,Alyson Hannigan,,Alyson Hannigan,,2.57,"Actress, Singer (Cameo)",38
,,Alexis Denisof,,Ginger Fish,,,,
,,,,Alyson Hannigan,,,,
,,,,Seth Green,,,,
941,Chris Kattan,Sunshine Deia Tutt,,Chris Kattan,,2.57,"Actor, Director, Producer, Singer (Cameo), Writer",41
,,Chris Kattan,,Sunshine Tutt,,,,
941,Debi Mazar,Gabriele Corcos,,Debi Mazar,,2.57,Actress,47
,,Debi Mazar,,Michael Badalucco,,,,
941,Cybill Shepherd,Bruce Oppenheim,,Cybill Shepherd,,2.57,"Actress, Producer, Writer",62
,,Cybill Shepherd,,Jeff Bridges,,,,
,,David M. Ford,,Cybill Shepherd,,,,
,,Cybill Shepherd,,Peter Bogdanovich,,,,
,,Peter Bogdanovich,,Elvis Presley,,,,
,,Cybill Shepherd,,Cybill Shepherd,,,,
,,Robert Martin,,Cybill Shepherd,,,,
,,Cybill Shepherd,,Robert Martin,,,,
941,Paul Sorvino,Lorraine Davis,,,,2.57,Actor,73
,,Paul Sorvino,,,,,,
948,Michael Angarano,,,Michael Angarano,,2.56,Actor,24
,,,,Kristen Stewart,,,,
948,Meagan Good,DeVon Franklin,Meagan Good,Joseph Gordon-Levitt,,2.56,"Actress, Producer",30
,,Meagan Good,Soulja Boy,Meagan Good,,,,
948,Bryan Greenberg,,,,,2.56,"Actor, Singer (Cameo)",34
951,Elizabeth Berkley,Greg Lauren,,Elizabeth Berkley,Justin Whalin,2.55,Actress,39
,,Elizabeth Berkley,,Mark-Paul Gosselaar,Elizabeth Berkley,,,
,,,,Paul Verhoeven,,,,
,,,,Elizabeth Berkley,,,,
,,,,Elizabeth Berkley,,,,
,,,,Roger Wilson,,,,
951,Stockard Channing,Stockard Channing,,,,2.55,"Actress, Director, Producer, Singer (Cameo)",68
,,Walter Channing,,,,,,
,,Stockard Channing,,,,,,
,,Paul Schmidt,,,,,,
,,Stockard Channing,,,,,,
,,David Debin,,,,,,
,,David Rawle,,,,,,
,,Stockard Channing,,,,,,
951,Jill Clayburgh,David Rabe,,Jill Clayburgh,,2.55,"Actress, Singer (Cameo), Stage Performer (Musical)",68
,,Jill Clayburgh,,Al Pacino,,,,
,,,,Al Pacino,,,,
,,,,Jill Clayburgh,,,,
951,Charles S. Dutton,Charles S. Dutton,,,,2.55,"Actor, Director, Producer, Singer (Cameo)",81
,,Debbi Morgan,,,,,,
951,Dennis Farina,Patricia Farina,,,,2.55,"Actor, Producer",68
,,Dennis Farina,,,,,,
,,Patricia Farina,,,,,,
,,Dennis Farina,,,,,,
951,Ginnifer Goodwin,,Chris Klein,Justin Long,Justin Long,2.55,Actress,34
,,,Ginnifer Goodwin,Ginnifer Goodwin,Ginnifer Goodwin,,,
,,,,Ginnifer Goodwin,,,,
,,,,Ginnifer Goodwin,,,,
,,,,Joey Kern,,,,
,,,,Chris Klein,,,,
,,,,Ginnifer Goodwin,,,,
,,,,Topher Grace,,,,
,,,,Ginnifer Goodwin,,,,
,,,,Chris Klein,,,,
,,,,Ginnifer Goodwin,,,,
,,,,Joaquin Phoenix,,,,
,,,,Ginnifer Goodwin,,,,
951,Dina Meyer,,,Shane West,,2.55,Actress,43
,,,,Dina Meyer,,,,
951,Tom Everett Scott,Jenny Gallagher,,,,2.55,Actor,41
,,Tom Everett Scott,,,,,,
959,Penn Dayton Badgley,,Penn Dayton Badgley,Penn Dayton Badgley,Penn Dayton Badgley,2.54,Actor,25
,,,Blake Lively,Blake Lively,Brooke Burke,,,
,,,,Blake Lively,Penn Dayton Badgley,,,
,,,,Penn Dayton Badgley,Blake Lively,,,
959,Lucas Black,Maggie O Brien',,,,2.54,Actor,29
,,Lucas Black,,,,,,
959,Xzibit,,,,,2.54,"Actor, Director, Producer, Rapper, TV Host",37
959,Romany Malco,,,,,2.54,"Actor, Singer (Cameo)",43
959,Neal McDonough,Ruve McDonough,,,,2.54,Actor,46
,,Neal McDonough,,,,,,
,,Ruvé Robertson,,,,,,
,,Neal McDonough,,,,,,
959,Max Minghella,,,,,2.54,Actor,26
959,Christopher Mintz-Plasse,,,,,2.54,Actor,23
959,Paula Patton,Paula Patton,,,,2.54,"Actress, Director, Producer",36
,,Robin Thicke,,,,,,
959,Columbus Short,,,Britney Spears,Britney Spears,2.54,Actor,29
,,,,Columbus Short,Columbus Short,,,
,,,,Columbus Short,,,,
,,,,Tanee McCall,,,,
,,,,Serena Williams,,,,
,,,,Columbus Short,,,,
959,Jess Weixler,,,,,2.54,Actress,31
969,Ben Chaplin,Embeth Davidtz,,,,2.53,Actor,41
,,Ben Chaplin,,,,,,
969,Elle Fanning,,,,,2.53,"Actress, Singer (Cameo)",14
969,Lukas Haas,,,,,2.53,Actor,36
969,Don Johnson,Kelley Phleger,,Pamela Des Barres,Don Johnson,2.53,"Actor, Composer, Director, Producer, Singer, Writer",62
,,Don Johnson,,Don Johnson,Yasmine Bleeth,,,
,,Melanie Griffith,,Don Johnson,,,,
,,Don Johnson,,Barbra Streisand,,,,
,,Melanie Griffith,,,,,,
,,Don Johnson,,,,,,
,,Patti D'Arbanville,,,,,,
,,Don Johnson,,,,,,
973,Ed Begley,Amanda Huff,,,,2.52,"Actor, Director",62
,,Ed Begley,,,,,,
,,Dorothy Reeves,,,,,,
,,Ed Begley,,,,,,
,,Helen Jordan,,,,,,
,,Ed Begley,,,,,,
973,Rinko Kikuchi,,,,,2.52,Actress,31
973,Maura Tierney,Billy Morrissette,,,,2.52,Actress,47
,,Maura Tierney,,,,,,
976,Idris Elba,Kim Elba,,,Beyoncé,2.5,Actor,39
,,Idris Elba,,,Idris Elba,,,
976,Peter Facinelli,Peter Facinelli,,,,2.5,Actor,38
,,Jennie Garth,,,,,,
976,Edward Furlong,Edward Furlong,,Edward Furlong,Edward Furlong,2.5,Actor,34
,,Rachael Bella,,Jacqueline Domac,Paris Hilton,,,
,,Edward Furlong,,Edward Furlong,,,,
,,Natasha Lyonne,,Jolene Blalock,,,,
,,,,Edward Furlong,,,,
,,,,Soleil Moon Frye,,,,
,,,,Edward Furlong,,,,
,,,,Edward Furlong,,,,
,,,,Natasha Lyonne,,,,
,,,,Paris Hilton,,,,
,,,,Edward Furlong,,,,
976,Luis Guzmán,Angelita Galarza-Guzman,,,,2.5,Actor,55
,,Luis Guzmán,,,,,,
976,Christine Lahti,Thomas Schlamme,,,,2.5,"Actor, Director, Singer (Cameo)",62
,,Christine Lahti,,,,,,
976,Bai Ling,,Damon Elliott,Damon Elliott,Mickey Rourke,2.5,"Actress, Producer",41
,,,Bai Ling,Bai Ling,Bai Ling,,,
,,,,Bai Ling,Thomas Jane,,,
,,,,Qu Xiao-Song,Bai Ling,,,
,,,,Bai Ling,Bill Maher,,,
,,,,Damon Elliott,Bai Ling,,,
,,,,Bai Ling,,,,
,,,,Scott DeGirolamo,,,,
,,,,Chris Isaak,,,,
,,,,Bai Ling,,,,
,,,,Bai Ling,,,,
,,,,Nick Carter,,,,
976,Jon Lovitz,,,Jon Lovitz,,2.5,"Actor, Singer (Cameo), Writer",55
,,,,Janice Dickinson,,,,
976,Amy Madigan,Amy Madigan,,,,2.5,"Actress, Producer, Singer (Cameo)",61
,,Ed Harris,,,,,,
976,Mary McDonnell,Randle Mell,,,,2.5,"Actress, Singer (Cameo)",60
,,Mary McDonnell,,,,,,
976,Tim McGraw,Tim McGraw,,,,2.5,"Actor, Musician, Producer, Singer, Writer",45
,,Faith Hill,,,,,,
986,Mathieu Amalric,Jeanne Balibar,,,,2.48,Actor,46
,,Mathieu Amalric,,,,,,
986,Fairuza Balk,,,Fairuza Balk,,2.48,Actress,38
,,,,Crispin Glover,,,,
986,Kyle Chandler,Kathryn Chandler,,,,2.48,"Actor, Producer",46
,,Kyle Chandler,,,,,,
986,Shannon Elizabeth,Joseph D. Reitman,,Shannon Elizabeth,,2.48,"Actress, Producer",38
,,Shannon Elizabeth,,Mark Philippoussis,,,,
986,Jesse Metcalfe,,,Jesse Metcalfe,,2.48,Actor,33
,,,,Nadine Coyle,,,,
,,,,Jesse Metcalfe,,,,
,,,,Stefani Morgan,,,,
,,,,Jesse Metcalfe,,,,
,,,,Taylor Anne Mountz,,,,
,,,,Jesse Metcalfe,,,,
,,,,Colleen Shannon,,,,
986,Alex O'Loughlin,,,,,2.48,"Actor, Producer, Writer",NA
986,Zachary Quinto,,,,,2.48,Actor,35
986,James Van Der Beek,James Van Der Beek,,James Van Der Beek,Katie Holmes,2.48,Actor,35
,,Heather McComb,,Katie Holmes,James Van Der Beek,,,
,,Kimberly Brook,,,,,,
,,James Van Der Beek,,,,,,
986,Mykelti Williamson,Olivia Brown,,,,2.48,Actor,54
,,Mykelti Williamson,,,,,,
,,Cheryl Chisholm,,,,,,
,,Mykelti Williamson,,,,,,
,,Sondra Spriggs,,,,,,
,,Mykelti Williamson,,,,,,
995,Stephen Dorff,,,Stephen Dorff,Stephen Dorff,2.47,"Actor, Producer",38
,,,,Kaya Jones,Rachel Stevens,,,
,,,,Pamela Anderson,Carrie Tivador,,,
,,,,Stephen Dorff,Stephen Dorff,,,
,,,,Stephen Dorff,,,,
,,,,Bridget Hall,,,,
,,,,Stephen Dorff,,,,
,,,,Miranda Kerr,,,,
,,,,Stephen Dorff,,,,
,,,,May Andersen,,,,
995,Carrie Fisher,Paul Simon,Paul Simon,Harrison Ford,,2.47,"Actress, Producer, Singer (Cameo), Writer",55
,,Carrie Fisher,Carrie Fisher,Carrie Fisher,,,,
,,Carrie Fisher,,Carrie Fisher,,,,
,,Bryan Lourd,,Salman Rushdie,,,,
,,,,John Belushi,,,,
,,,,Carrie Fisher,,,,
,,,,Dan Aykroyd,,,,
,,,,Carrie Fisher,,,,
,,,,Bryan Lourd,,,,
,,,,Carrie Fisher,,,,
997,Anna Friel,Anna Friel,,,Anna Friel,2.46,Actress,36
,,David Thewlis,,,Joaquin Phoenix,,,
997,Caroline Goodall,Nicola Pecorini,,,,2.46,Actress,52
,,Caroline Goodall,,,,,,
,,Scott Hoxby,,,,,,
,,Caroline Goodall,,,,,,
997,Ludivine Sagnier,,,,,2.46,"Actress, Singer (Cameo)",33
1000,Monica Potter,Daniel Christopher Allison,,,,2.45,Actress,41
,,Monica Potter,,,,,,
,,Tom Potter,,,,,,
,,Monica Potter,,,,,,
1000,Dylan Walsh,Melora Walters,,,,2.45,Actor,48
,,Dylan Walsh,,,,,,
,,Joanna Going,,,,,,
,,Dylan Walsh,,,,,,
