Source,Target,Type,Id,Label,Weight
p172,p177,Undirected,434,,2.0
p172,p214,Undirected,435,,2.0
p172,p358,Undirected,436,,2.0
p173,p350,Undirected,437,,2.0
p175,p13,Undirected,438,,2.0
p175,p244,Undirected,439,,2.0
p175,p307,Undirected,440,,1.0
p175,p316,Undirected,441,,2.0
p175,p486,Undirected,442,,2.0
p176,p385,Undirected,443,,2.0
p177,p214,Undirected,444,,4.0
p178,p226,Undirected,445,,2.0
p181,p392,Undirected,446,,2.0
p183,p201,Undirected,447,,2.0
p183,p260,Undirected,448,,2.0
p184,p343,Undirected,449,,4.0
p184,p400,Undirected,450,,2.0
p184,p417,Undirected,451,,2.0
p185,p69,Undirected,452,,1.0
p185,p321,Undirected,453,,2.0
p186,p32,Undirected,454,,1.0
p188,p554,Undirected,455,,2.0
p189,p561,Undirected,456,,2.0
p190,p300,Undirected,457,,2.0
p193,p218,Undirected,458,,2.0
p193,p232,Undirected,459,,4.0
p193,p238,Undirected,460,,2.0
p193,p308,Undirected,461,,2.0
p194,p221,Undirected,462,,2.0
p195,p443,Undirected,463,,2.0
p197,p470,Undirected,464,,4.0
p198,p520,Undirected,465,,4.0
p199,p276,Undirected,466,,2.0
p201,p521,Undirected,467,,2.0
p202,p63,Undirected,468,,1.0
p202,p316,Undirected,469,,2.0
p202,p385,Undirected,470,,2.0
p202,p565,Undirected,471,,2.0
p204,p291,Undirected,472,,2.0
p205,p421,Undirected,473,,2.0
p206,p277,Undirected,474,,2.0
p206,p415,Undirected,475,,2.0
p207,p462,Undirected,476,,2.0
p209,p271,Undirected,477,,2.0
p209,p299,Undirected,478,,4.0
p210,p442,Undirected,479,,2.0
p211,p476,Undirected,480,,2.0
p211,p491,Undirected,481,,2.0
p211,p507,Undirected,482,,2.0
p212,p234,Undirected,483,,2.0
p212,p239,Undirected,484,,2.0
p213,p7,Undirected,485,,1.0
p214,p406,Undirected,486,,2.0
p214,p419,Undirected,487,,4.0
p215,p322,Undirected,488,,4.0
p216,p296,Undirected,489,,4.0
p217,p261,Undirected,490,,1.0
p218,p234,Undirected,491,,2.0
p218,p287,Undirected,492,,2.0
p218,p332,Undirected,493,,2.0
p219,p156,Undirected,494,,1.0
p219,p280,Undirected,495,,2.0
p219,p316,Undirected,496,,2.0
p220,p442,Undirected,497,,2.0
p220,p518,Undirected,498,,2.0
p221,p234,Undirected,499,,1.0
p221,p340,Undirected,500,,4.0
p223,p245,Undirected,501,,1.0
p225,p299,Undirected,502,,2.0
p225,p346,Undirected,503,,1.0
p225,p371,Undirected,504,,1.0
p225,p578,Undirected,505,,4.0
p226,p251,Undirected,506,,2.0
p226,p483,Undirected,507,,2.0
p227,p256,Undirected,508,,2.0
p227,p342,Undirected,509,,1.0
p228,p243,Undirected,510,,2.0
p229,p376,Undirected,511,,2.0
p229,p508,Undirected,512,,2.0
p230,p568,Undirected,513,,1.0
p231,p265,Undirected,514,,2.0
p234,p326,Undirected,515,,2.0
p234,p365,Undirected,516,,2.0
p234,p516,Undirected,517,,1.0
p236,p344,Undirected,518,,2.0
p238,p9,Undirected,519,,1.0
p239,p115,Undirected,520,,1.0
p239,p371,Undirected,521,,1.0
p239,p395,Undirected,522,,2.0
p240,p364,Undirected,523,,2.0
p241,p36,Undirected,524,,1.0
p241,p538,Undirected,525,,2.0
p245,p11,Undirected,526,,1.0
p245,p53,Undirected,527,,1.0
p245,p117,Undirected,528,,1.0
p245,p355,Undirected,529,,2.0
p246,p289,Undirected,530,,2.0
p249,p124,Undirected,531,,1.0
p250,p284,Undirected,532,,2.0
p251,p280,Undirected,533,,2.0
p251,p408,Undirected,534,,2.0
p251,p580,Undirected,535,,2.0
p252,p277,Undirected,536,,2.0
p252,p547,Undirected,537,,2.0
p252,p490,Undirected,538,,2.0
p254,p285,Undirected,539,,2.0
p255,p441,Undirected,540,,2.0
p255,p586,Undirected,541,,1.0
p257,p400,Undirected,542,,4.0
p258,p115,Undirected,543,,1.0
p258,p412,Undirected,544,,2.0
p259,p516,Undirected,545,,2.0
p260,p450,Undirected,546,,2.0
p260,p567,Undirected,547,,2.0
p263,p568,Undirected,548,,1.0
p264,p228,Undirected,549,,1.0
p265,p329,Undirected,550,,2.0
p266,p124,Undirected,551,,1.0
p266,p480,Undirected,552,,4.0
p266,p563,Undirected,553,,4.0
p267,p421,Undirected,554,,2.0
p269,p425,Undirected,555,,2.0
p272,p464,Undirected,556,,2.0
p273,p441,Undirected,557,,2.0
p274,p385,Undirected,558,,1.0
p274,p435,Undirected,559,,2.0
p274,p504,Undirected,560,,2.0
p275,p437,Undirected,561,,2.0
