"rank","name","score","profession","age"
"408","Nick Cannon","4.30","Actor, Director, Producer, Rapper, Writer","31"
"408","John Leguizamo","4.30","Actor, Director, Producer, Singer (Cameo), Writer","48"
"410","Zooey Deschanel","4.29","Actress, Musician","32"
"410","Andie MacDowell","4.29","Actress, Producer, Singer (Cameo)","54"
"412","Anna Paquin","4.28","Actor, Producer, Singer (Cameo)","30"
"412","David Schwimmer","4.28","Actor, Director, Producer, Singer (Cameo)","45"
"412","Jimmy Smits","4.28","Actor, Producer","57"
"415","Elisabeth Shue","4.27","Actress","48"
"416","Ving Rhames","4.25","Actor, Producer","53"
"417","Jennifer Jason Leigh","4.24","Actress, Director, Producer, Singer (Cameo), Writer","50"
"417","Jeremy Northam","4.24","Actor, Singer (Cameo)","50"
"417","Hugo Weaving","4.24","Actor","52"
"420","Melanie Griffith","4.23","Actress","54"
"420","Derek Luke","4.23","Actor, Singer (Cameo)","38"
"422","Sally Field","4.22","Actress, Director, Producer, Singer (Cameo), Writer","65"
"422","Alicia Keys","4.22","Actress, Musician, Producer, Singer","32"
"424","George Lopez","4.21","Actor, Director, Producer, Writer","51"
"424","Thandie Newton","4.21","Actress","39"
"426","Cam Gigandet","4.19","Actor","29"
"427","Stephen Chow","4.18","Actor, Director, Producer, Writer","50"
"427","Bill Pullman","4.18","Actor, Director, Producer, Singer (Cameo)","58"
"429","Alan Arkin","4.17","Actor, Director, Writer","78"
"429","Tyrese Gibson","4.17","Actor, Producer","33"
"429","Sophia Loren","4.17","Actress, Singer (Cameo)","77"
"432","Malin Akerman","4.16","Actress","34"
"433","Jim Broadbent","4.15","Actor, Producer, Singer (Cameo), Writer","63"
"433","Julia Ormond","4.15","Actress, Producer","47"
"433","Chloe Sevigny","4.15","Actress","37"
"436","Timothy Olyphant","4.14","Actor","44"
"436","Hayden Panettiere","4.14","Actress, Singer (Cameo)","22"
"436","James Spader","4.14","Actor","52"
"439","Kerry Washington","4.13","Actress","35"
